run,file,stage,stage_lp,iteration,bank,fourier_k,lp_A,voxels,pct_base
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,104,7,,5.0,112,0.06
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,104,8,,4.0,424,0.22
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,105,1,,19.7,88973,45.28
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,105,2,,15.1,55320,28.15
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,105,3,,12.2,23848,12.14
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,105,4,,9.8,13349,6.79
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,105,5,,8.0,11972,6.09
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,105,6,,6.0,2777,1.41
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,105,7,,5.0,10,0.01
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,105,8,,4.0,238,0.12
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,106,1,,19.7,92523,46.95
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,106,2,,15.1,53265,27.03
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,106,3,,12.2,21801,11.06
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,106,4,,9.8,13999,7.1
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,106,5,,8.0,12155,6.17
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,106,6,,6.0,2899,1.47
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,106,7,,5.0,0,0.0
